aiport,period,date,value,countryCod,airpCod,countryDesc,airpDesc
UK_EGKK,2019-04,01/04/2019,23828,UK,EGKK,Reino Unido,Aeropuerto de Londres Gatwic
UK_EGKK,2019-05,01/05/2019,25925,UK,EGKK,Reino Unido,Aeropuerto de Londres Gatwic
UK_EGKK,2019-06,01/06/2019,26516,UK,EGKK,Reino Unido,Aeropuerto de Londres Gatwic
UK_EGKK,2019-07,01/07/2019,27834,UK,EGKK,Reino Unido,Aeropuerto de Londres Gatwic
UK_EGKK,2019-08,01/08/2019,28224,UK,EGKK,Reino Unido,Aeropuerto de Londres Gatwic
UK_EGKK,2019-09,01/09/2019,26081,UK,EGKK,Reino Unido,Aeropuerto de Londres Gatwic
UK_EGKK,2020-01,01/01/2020,18569,UK,EGKK,Reino Unido,Aeropuerto de Londres Gatwic
UK_EGKK,2020-02,01/02/2020,19287,UK,EGKK,Reino Unido,Aeropuerto de Londres Gatwic
UK_EGKK,2020-03,01/03/2020,15220,UK,EGKK,Reino Unido,Aeropuerto de Londres Gatwic
UK_EGKK,2020-04,01/04/2020,225,UK,EGKK,Reino Unido,Aeropuerto de Londres Gatwic
UK_EGKK,2020-05,01/05/2020,180,UK,EGKK,Reino Unido,Aeropuerto de Londres Gatwic
UK_EGKK,2020-06,01/06/2020,473,UK,EGKK,Reino Unido,Aeropuerto de Londres Gatwic
UK_EGKK,2020-07,01/07/2020,2988,UK,EGKK,Reino Unido,Aeropuerto de Londres Gatwic
UK_EGKK,2020-08,01/08/2020,8029,UK,EGKK,Reino Unido,Aeropuerto de Londres Gatwic
UK_EGKK,2020-09,01/09/2020,7457,UK,EGKK,Reino Unido,Aeropuerto de Londres Gatwic
UK_EGLL,2019-01,01/01/2019,38148,UK,EGLL,Reino Unido,Aeropuerto Internacional de Londres Heathrow
UK_EGLL,2019-02,01/02/2019,35554,UK,EGLL,Reino Unido,Aeropuerto Internacional de Londres Heathrow
UK_EGLL,2019-03,01/03/2019,40126,UK,EGLL,Reino Unido,Aeropuerto Internacional de Londres Heathrow
UK_EGLL,2019-04,01/04/2019,40514,UK,EGLL,Reino Unido,Aeropuerto Internacional de Londres Heathrow
UK_EGLL,2019-05,01/05/2019,41862,UK,EGLL,Reino Unido,Aeropuerto Internacional de Londres Heathrow
UK_EGLL,2019-06,01/06/2019,41158,UK,EGLL,Reino Unido,Aeropuerto Internacional de Londres Heathrow
UK_EGLL,2019-07,01/07/2019,42669,UK,EGLL,Reino Unido,Aeropuerto Internacional de Londres Heathrow
UK_EGLL,2019-08,01/08/2019,42528,UK,EGLL,Reino Unido,Aeropuerto Internacional de Londres Heathrow
UK_EGLL,2019-09,01/09/2019,39507,UK,EGLL,Reino Unido,Aeropuerto Internacional de Londres Heathrow
UK_EGLL,2020-01,01/01/2020,38177,UK,EGLL,Reino Unido,Aeropuerto Internacional de Londres Heathrow
UK_EGLL,2020-02,01/02/2020,36615,UK,EGLL,Reino Unido,Aeropuerto Internacional de Londres Heathrow
UK_EGLL,2020-03,01/03/2020,27861,UK,EGLL,Reino Unido,Aeropuerto Internacional de Londres Heathrow
UK_EGLL,2020-04,01/04/2020,5272,UK,EGLL,Reino Unido,Aeropuerto Internacional de Londres Heathrow
UK_EGLL,2020-05,01/05/2020,6744,UK,EGLL,Reino Unido,Aeropuerto Internacional de Londres Heathrow
UK_EGLL,2020-06,01/06/2020,7449,UK,EGLL,Reino Unido,Aeropuerto Internacional de Londres Heathrow
UK_EGLL,2020-07,01/07/2020,12198,UK,EGLL,Reino Unido,Aeropuerto Internacional de Londres Heathrow
UK_EGLL,2020-08,01/08/2020,15477,UK,EGLL,Reino Unido,Aeropuerto Internacional de Londres Heathrow
UK_EGLL,2020-09,01/09/2020,14690,UK,EGLL,Reino Unido,Aeropuerto Internacional de Londres Heathrow
