rep_airp.time,periodo,fecha,mes,year,date,pais,totalVuelos,Aeropuerto
ES_LEBL,2020M05,1/5/2020,5,2020,1/5/2020,Espa�a,34,"Aeropuerto Josep Tarradellas Barcelona-El Prat? 
Aeropuerto Josep Tarradellas Barcelona-El Prat"
ES_LEBL,2020M05,1/5/2020,5,2020,1/5/2020,Espa�a,372,"Aeropuerto Josep Tarradellas Barcelona-El Prat? 
Aeropuerto Josep Tarradellas Barcelona-El Prat"
ES_LEBL,2020M05,1/5/2020,5,2020,1/5/2020,Espa�a,1357,"Aeropuerto Josep Tarradellas Barcelona-El Prat? 
Aeropuerto Josep Tarradellas Barcelona-El Prat"
ES_LEBL,2020M05,1/5/2020,5,2020,1/5/2020,Espa�a,1763,"Aeropuerto Josep Tarradellas Barcelona-El Prat? 
Aeropuerto Josep Tarradellas Barcelona-El Prat"
ES_LEBL,2020M06,1/6/2020,6,2020,1/6/2020,Espa�a,39,"Aeropuerto Josep Tarradellas Barcelona-El Prat? 
Aeropuerto Josep Tarradellas Barcelona-El Prat"
ES_LEBL,2020M06,1/6/2020,6,2020,1/6/2020,Espa�a,465,"Aeropuerto Josep Tarradellas Barcelona-El Prat? 
Aeropuerto Josep Tarradellas Barcelona-El Prat"
ES_LEBL,2020M06,1/6/2020,6,2020,1/6/2020,Espa�a,2223,"Aeropuerto Josep Tarradellas Barcelona-El Prat? 
Aeropuerto Josep Tarradellas Barcelona-El Prat"
ES_LEBL,2020M06,1/6/2020,6,2020,1/6/2020,Espa�a,2727,"Aeropuerto Josep Tarradellas Barcelona-El Prat? 
Aeropuerto Josep Tarradellas Barcelona-El Prat"
ES_LEBL,2020M07,1/7/2020,7,2020,1/7/2020,Espa�a,194,"Aeropuerto Josep Tarradellas Barcelona-El Prat? 
Aeropuerto Josep Tarradellas Barcelona-El Prat"
ES_LEBL,2020M07,1/7/2020,7,2020,1/7/2020,Espa�a,1003,"Aeropuerto Josep Tarradellas Barcelona-El Prat? 
Aeropuerto Josep Tarradellas Barcelona-El Prat"
ES_LEBL,2020M07,1/7/2020,7,2020,1/7/2020,Espa�a,9183,"Aeropuerto Josep Tarradellas Barcelona-El Prat? 
Aeropuerto Josep Tarradellas Barcelona-El Prat"
ES_LEBL,2020M07,1/7/2020,7,2020,1/7/2020,Espa�a,10380,"Aeropuerto Josep Tarradellas Barcelona-El Prat? 
Aeropuerto Josep Tarradellas Barcelona-El Prat"
ES_LEBL,2020M08,1/8/2020,8,2020,1/8/2020,Espa�a,82,"Aeropuerto Josep Tarradellas Barcelona-El Prat? 
Aeropuerto Josep Tarradellas Barcelona-El Prat"
ES_LEBL,2020M08,1/8/2020,8,2020,1/8/2020,Espa�a,869,"Aeropuerto Josep Tarradellas Barcelona-El Prat? 
Aeropuerto Josep Tarradellas Barcelona-El Prat"
ES_LEBL,2020M08,1/8/2020,8,2020,1/8/2020,Espa�a,13091,"Aeropuerto Josep Tarradellas Barcelona-El Prat? 
Aeropuerto Josep Tarradellas Barcelona-El Prat"
ES_LEBL,2020M08,1/8/2020,8,2020,1/8/2020,Espa�a,14042,"Aeropuerto Josep Tarradellas Barcelona-El Prat? 
Aeropuerto Josep Tarradellas Barcelona-El Prat"
ES_LEBL,2020M09,1/9/2020,9,2020,1/9/2020,Espa�a,150,"Aeropuerto Josep Tarradellas Barcelona-El Prat? 
Aeropuerto Josep Tarradellas Barcelona-El Prat"
